Feature,Coefficient,Absolute_Importance
categorical__arrival_time_24-03-2025 09:00,-1.2631986153070038,1.2631986153070038
categorical__charging_start_time_24-03-2025 09:14,-1.2631986153070038,1.2631986153070038
categorical__timestamp_24-03-2025 09:00,-1.2631986153070038,1.2631986153070038
categorical__charging_start_time_06-01-2025 22:59,-1.2622942566884836,1.2622942566884836
categorical__arrival_time_06-01-2025 22:45,-1.2622942566884836,1.2622942566884836
categorical__timestamp_06-01-2025 22:45,-1.2622942566884836,1.2622942566884836
categorical__arrival_time_19-02-2025 11:00,-1.2622862722050774,1.2622862722050774
categorical__timestamp_19-02-2025 11:00,-1.2622862722050774,1.2622862722050774
categorical__charging_start_time_19-02-2025 11:05,-1.2622862722050774,1.2622862722050774
categorical__timestamp_26-01-2025 05:00,-1.2618740342056858,1.2618740342056858
categorical__charging_start_time_26-01-2025 05:12,-1.2618740342056858,1.2618740342056858
categorical__arrival_time_26-01-2025 05:00,-1.2618740342056858,1.2618740342056858
categorical__timestamp_20-03-2025 00:30,-1.2611767203375996,1.2611767203375996
categorical__arrival_time_20-03-2025 00:30,-1.2611767203375996,1.2611767203375996
categorical__charging_start_time_20-03-2025 00:35,-1.2611767203375996,1.2611767203375996
categorical__arrival_time_17-02-2025 23:15,-1.2611522417366527,1.2611522417366527
categorical__timestamp_17-02-2025 23:15,-1.2611522417366527,1.2611522417366527
categorical__charging_start_time_17-02-2025 23:20,-1.2611522417366527,1.2611522417366527
categorical__arrival_time_27-03-2025 03:15,-1.2609217407966717,1.2609217407966717
categorical__charging_start_time_27-03-2025 03:23,-1.2609217407966717,1.2609217407966717
categorical__timestamp_27-03-2025 03:15,-1.2609217407966717,1.2609217407966717
categorical__timestamp_13-03-2025 04:45,1.2608224888936672,1.2608224888936672
categorical__charging_start_time_13-03-2025 04:50,1.2608224888936672,1.2608224888936672
categorical__arrival_time_13-03-2025 04:45,1.2608224888936672,1.2608224888936672
categorical__charging_start_time_18-02-2025 08:40,1.260258866973909,1.260258866973909
categorical__timestamp_18-02-2025 08:30,1.260258866973909,1.260258866973909
categorical__arrival_time_18-02-2025 08:30,1.260258866973909,1.260258866973909
categorical__arrival_time_23-03-2025 04:45,1.2601648839362134,1.2601648839362134
categorical__timestamp_23-03-2025 04:45,1.2601648839362134,1.2601648839362134
categorical__charging_start_time_23-03-2025 04:55,1.2601648839362134,1.2601648839362134
categorical__charging_start_time_01-02-2025 05:59,1.259501301583767,1.259501301583767
categorical__timestamp_01-02-2025 05:45,1.259501301583767,1.259501301583767
categorical__arrival_time_01-02-2025 05:45,1.259501301583767,1.259501301583767
categorical__timestamp_14-03-2025 15:30,1.259235398658239,1.259235398658239
categorical__arrival_time_14-03-2025 15:30,1.259235398658239,1.259235398658239
categorical__charging_start_time_14-03-2025 15:39,1.259235398658239,1.259235398658239
categorical__timestamp_07-02-2025 06:00,-1.2590165022221054,1.2590165022221054
categorical__arrival_time_07-02-2025 06:00,-1.2590165022221054,1.2590165022221054
categorical__charging_start_time_07-02-2025 06:06,-1.2590165022221054,1.2590165022221054
categorical__timestamp_18-01-2025 01:00,1.2587341240306844,1.2587341240306844
categorical__charging_start_time_18-01-2025 01:12,1.2587341240306844,1.2587341240306844
categorical__arrival_time_18-01-2025 01:00,1.2587341240306844,1.2587341240306844
categorical__charging_start_time_17-02-2025 11:28,-1.2579479601556816,1.2579479601556816
categorical__arrival_time_17-02-2025 11:15,-1.2579479601556816,1.2579479601556816
categorical__timestamp_17-02-2025 11:15,-1.2579479601556816,1.2579479601556816
categorical__timestamp_26-03-2025 02:00,-1.257386635186941,1.257386635186941
categorical__arrival_time_26-03-2025 02:00,-1.257386635186941,1.257386635186941
categorical__charging_start_time_26-03-2025 02:07,-1.257386635186941,1.257386635186941
categorical__charging_start_time_10-01-2025 13:35,1.2571462674932254,1.2571462674932254
categorical__arrival_time_10-01-2025 13:30,1.2571462674932254,1.2571462674932254
categorical__timestamp_10-01-2025 13:30,1.2571462674932254,1.2571462674932254
categorical__arrival_time_18-03-2025 17:30,-1.256453937118398,1.256453937118398
categorical__charging_start_time_18-03-2025 17:40,-1.256453937118398,1.256453937118398
categorical__timestamp_18-03-2025 17:30,-1.256453937118398,1.256453937118398
categorical__charging_start_time_11-02-2025 11:56,1.2559050330697252,1.2559050330697252
categorical__arrival_time_11-02-2025 11:45,1.2559050330697252,1.2559050330697252
categorical__timestamp_11-02-2025 11:45,1.2559050330697252,1.2559050330697252
categorical__arrival_time_12-03-2025 00:15,1.2558524054448246,1.2558524054448246
categorical__timestamp_12-03-2025 00:15,1.2558524054448246,1.2558524054448246
categorical__charging_start_time_12-03-2025 00:24,1.2558524054448246,1.2558524054448246
categorical__timestamp_05-01-2025 01:15,-1.2556899340569034,1.2556899340569034
categorical__arrival_time_05-01-2025 01:15,-1.2556899340569034,1.2556899340569034
categorical__charging_start_time_05-01-2025 01:22,-1.2556899340569034,1.2556899340569034
categorical__arrival_time_31-01-2025 12:15,-1.2543042108979219,1.2543042108979219
categorical__charging_start_time_31-01-2025 12:28,-1.2543042108979219,1.2543042108979219
categorical__timestamp_31-01-2025 12:15,-1.2543042108979219,1.2543042108979219
categorical__timestamp_25-03-2025 22:30,1.254303946820893,1.254303946820893
categorical__arrival_time_25-03-2025 22:30,1.254303946820893,1.254303946820893
categorical__charging_start_time_25-03-2025 22:43,1.254303946820893,1.254303946820893
categorical__arrival_time_20-03-2025 19:30,-1.2539497219100637,1.2539497219100637
categorical__charging_start_time_20-03-2025 19:41,-1.2539497219100637,1.2539497219100637
categorical__timestamp_20-03-2025 19:30,-1.2539497219100637,1.2539497219100637
categorical__arrival_time_05-02-2025 20:30,-1.2534029568224532,1.2534029568224532
categorical__timestamp_05-02-2025 20:30,-1.2534029568224532,1.2534029568224532
categorical__charging_start_time_05-02-2025 20:39,-1.2534029568224532,1.2534029568224532
categorical__arrival_time_04-03-2025 13:30,1.2529844723541412,1.2529844723541412
categorical__timestamp_04-03-2025 13:30,1.2529844723541412,1.2529844723541412
categorical__charging_start_time_04-03-2025 13:41,1.2529844723541412,1.2529844723541412
categorical__timestamp_06-03-2025 22:15,1.2524573835414858,1.2524573835414858
categorical__charging_start_time_06-03-2025 22:21,1.2524573835414858,1.2524573835414858
categorical__arrival_time_06-03-2025 22:15,1.2524573835414858,1.2524573835414858
categorical__charging_start_time_20-03-2025 20:26,1.2523818684009147,1.2523818684009147
categorical__arrival_time_20-03-2025 20:15,1.2523818684009147,1.2523818684009147
categorical__timestamp_20-03-2025 20:15,1.2523818684009147,1.2523818684009147
categorical__charging_start_time_01-01-2025 07:07,1.2516225054387402,1.2516225054387402
categorical__timestamp_01-01-2025 07:00,1.2516225054387402,1.2516225054387402
categorical__arrival_time_01-01-2025 07:00,1.2516225054387402,1.2516225054387402
categorical__timestamp_27-02-2025 22:45,1.2514959334248317,1.2514959334248317
categorical__charging_start_time_27-02-2025 22:50,1.2514959334248317,1.2514959334248317
categorical__arrival_time_27-02-2025 22:45,1.2514959334248317,1.2514959334248317
categorical__charging_start_time_30-01-2025 04:59,-1.2497953863635298,1.2497953863635298
categorical__arrival_time_30-01-2025 04:45,-1.2497953863635298,1.2497953863635298
categorical__timestamp_30-01-2025 04:45,-1.2497953863635298,1.2497953863635298
categorical__arrival_time_07-01-2025 23:45,-1.2496325167218887,1.2496325167218887
categorical__timestamp_07-01-2025 23:45,-1.2496325167218887,1.2496325167218887
categorical__charging_start_time_07-01-2025 23:51,-1.2496325167218887,1.2496325167218887
categorical__charging_start_time_14-01-2025 10:24,-1.2492356450944664,1.2492356450944664
categorical__timestamp_14-01-2025 10:15,-1.2492356450944664,1.2492356450944664
categorical__arrival_time_14-01-2025 10:15,-1.2492356450944664,1.2492356450944664
categorical__arrival_time_28-02-2025 23:45,-1.2488217974699505,1.2488217974699505
categorical__charging_start_time_28-02-2025 23:48,-1.2488217974699505,1.2488217974699505
categorical__timestamp_28-02-2025 23:45,-1.2488217974699505,1.2488217974699505
categorical__timestamp_25-01-2025 12:15,1.2487019722532051,1.2487019722532051
categorical__arrival_time_25-01-2025 12:15,1.2487019722532051,1.2487019722532051
categorical__charging_start_time_25-01-2025 12:27,1.2487019722532051,1.2487019722532051
categorical__arrival_time_08-03-2025 00:00,-1.2480072334518162,1.2480072334518162
categorical__timestamp_08-03-2025 00:00,-1.2480072334518162,1.2480072334518162
categorical__charging_start_time_08-03-2025 00:11,-1.2480072334518162,1.2480072334518162
